Label;Area;Major;Minor;Angle;Feret;Slice;FeretX;FeretY;FeretAngle;MinFeret;Scale_um;Scale_px
2021120101.jpg_converted.tif:0509-0829;184185;800.715851055;292.877461134;178.973707154;779.616572425;1;440;524;2.278860678;284.330698527;100;23
2021120102.jpg_converted.tif:0585-0770;166947;870.323356464;244.235111808;178.483777990;842.686181209;1;349;581;177.687649955;245.384589736;100;23
2021120103.jpg_converted.tif:0584-0886;187457;937.146117929;254.685646957;175.633848605;902.726979767;1;438;528;173.000942843;252.668673343;100;23
2021120104.jpg_converted.tif:0536-0744;188399;969.107220254;247.523753796;176.445716231;929.621966178;1;280;508;177.903996311;245.309814796;100;23
2021120105.jpg_converted.tif:0568-0841;167061;908.791496674;234.056626148;177.754820648;873.860972924;1;405;542;176.260069012;231.969813108;100;23
2021120106.jpg_converted.tif:0519-0789;196910;966.267901923;259.465928916;1.172261373;933.857055443;1;323;537;2.454907355;256.916537260;100;23
2021120107.jpg_converted.tif:0510-0900;193068;984.629484520;249.659203068;179.917216629;946.357226421;1;427;523;178.425670884;246.418712930;100;23
2021120108.jpg_converted.tif:0564-0849;206637;970.788410796;271.015184029;1.688257239;940.614692635;1;379;590;2.071497481;280.608716628;100;23
2021120109.jpg_converted.tif:0555-0838;192013;968.249972491;252.495276684;179.031818392;929.065121507;1;374;540;179.321610201;248.098318774;100;23
2021120110.jpg_converted.tif:0556-0852;176327;921.747464011;243.566180511;177.701960238;893.270955534;1;406;570;178.588743307;240.563140178;100;23
2021120111.jpg_converted.tif:0563-0835;212471;1016.605144647;266.107722092;177.937691127;978.147739352;1;346;544;179.004161381;260.311833766;100;23
2021120112.jpg_converted.tif:0575-0868;198078;984.713588238;256.115834649;178.679260820;951.883396220;1;393;550;177.531363671;255.686745745;100;23
2021120113.jpg_converted.tif:0497-0832;185057;954.149787947;246.944340822;178.071640836;913.177419782;1;376;480;178.870547163;242.769771535;100;23
2021120114.jpg_converted.tif:0547-0814;201869;981.490322852;261.874811877;178.336843418;937.104583278;1;346;553;0.856009851;257.539909528;100;23
2021120115.jpg_converted.tif:0544-0800;201288;974.217605280;263.070427071;0.195815791;937.730238395;1;332;513;177.738694761;258.438521503;100;23
2021120116.jpg_converted.tif:0532-0802;204284;989.488714013;262.865521833;0.449852902;956.063282424;1;324;551;0.659231969;258.918839202;100;23
2021120117.jpg_converted.tif:0516-0781;180697;930.069760560;247.369149897;3.048898077;898.074050399;1;333;552;3.894707313;245.212570648;100;23
2021120118.jpg_converted.tif:0525-0813;192656;968.719583587;253.218002285;178.601035575;930.516523228;1;348;515;178.090847567;248.202323517;100;23
2021120119.jpg_converted.tif:0529-0842;183241;949.851493153;245.627541883;179.971030823;909.371761163;1;388;539;178.361623524;239.848540314;100;23
2021120120.jpg_converted.tif:0607-0774;183426;933.817096978;250.097409320;1.255273070;899.160719783;1;325;593;1.083328340;243.626512250;100;23
2021120121.jpg_converted.tif:0604-0824;185793;933.556491622;253.395479393;0.647216345;902.179583010;1;373;606;178.856776981;258.000000000;100;23
2021120122.jpg_converted.tif:0555-0899;164892;887.000690320;236.693181078;0.714616390;857.635120550;1;471;576;2.205165752;231.496821625;100;23
2021120123.jpg_converted.tif:0576-0793;192208;966.989963231;253.081040879;179.267377015;931.237885827;1;328;542;177.045420176;248.627854059;100;23
2021120124.jpg_converted.tif:0567-0812;182692;922.483782820;252.156930278;177.340788763;889.190643226;1;368;535;177.034625945;246.181135112;100;23
2021120125.jpg_converted.tif:0567-0909;195734;966.952623756;257.733691317;179.425301644;925.998920086;1;447;570;177.338436623;253.283991967;100;23
2021120126.jpg_converted.tif:0541-0885;179297;943.524027775;241.952535317;0.926352018;909.158951999;1;431;511;1.071413330;238.968979372;100;23
