Label,Area,forme,taille,texture,qualite
2021021701upsidedown.jpg,258878.129,rectangulaire,restreint,sec,ok
2021021702upsidedown.jpg,110554.542,rectangulaire,fragmente,sec,imprecis
2021021703upsidedown.jpg,64048.821,rectangulaire,frangmente,sec,imprecis
2021021704upsidedown.jpg,468683.933,rectangulaire,restreint,sec,ok
2021031901upsidedown.jpg,276602.565,michelin,restreint,humide,ok
2021031902upsidedown.jpg,385153.111,rectangulaire,restreint,humide,ok
2021031903upsidedown.jpg,329678.23,rectangulaire,restreint,sec,ok
2021031904upsidedown.jpg,486310.727,rectangulaire,long,humide,ok
2021031905upsidedown.jpg,159487.377,rectangulaire,restreint,sec,ok
2021031906upsidedown.jpg,0,NA,NA,NA,NA
2021031907upsidedown.jpg,0,NA,NA,NA,NA
2021031908upsidedown.jpg,0,NA,NA,NA,NA
2021041602+AF8-upsidedown.jpg,95684.987,intermediaire,frangmente,sec,ok
2021041603+AF8-upsidedown.jpg,130826.982,rectangulaire,restreint,humide,ok
2021041604+AF8-upsidedown.jpg,202268.735,intermediaire,restreint,sec,ok
2021042101+AF8-down.jpg,35104.164,rectangulaire,restreint,sec,doute
2021042102+AF8-down.jpg,93788.751,rectangulaire,restreint,sec,doute
2021042103+AF8-down.jpg,0,NA,NA,NA,NA
2021042104+AF8-down.jpg,0,NA,NA,NA,NA
2021042105+AF8-down.jpg,295642.849,rectangulaire,restreint,sec,ok
2021042106+AF8-down.jpg,0,NA,NA,NA,NA
2021042108+AF8-down.jpg,0,NA,NA,NA,NA
2021042109+AF8-down.jpg,239331.033,rectangulaire,restreint,sec,ok
2021042110+AF8-down.jpg,93043.99,rectangulaire,restreint,sec,ok
2021042111+AF8-down.jpg,329190.018,rectangulaire,restreint,sec,ok
2021042112+AF8-down.jpg,0,NA,NA,NA,NA
2021042113+AF8-down.jpg,119207.527,rectangulaire,restreint,sec,imprecis
2021042301+AF8-down.jpg,77244.506,rectangulaire,restreint,sec,doute
2021042302+AF8-down.jpg,23503.941,rectangulaire,restreint,sec,doute
2021042303+AF8-down.jpg,36132.37,michelin,frangmente,sec,ok
2021042305+AF8-down.jpg,0,NA,NA,NA,NA
2021042306+AF8-down.jpg,0,NA,NA,NA,NA
2021042307+AF8-down.jpg,303310.109,rectangulaire,frangmente,sec,imprecis
2021042308+AF8-down.jpg,86725.126,rectangulaire,frangmente,sec,imprecis
2021042310+AF8-down.jpg,137522.467,rectangulaire,frangmente,sec,ok
2021042311+AF8-down.jpg,37452.868,rectangulaire,frangmente,sec,ok
2021050401+AF8-down.jpg,0,NA,NA,NA,NA
2021050402+AF8-down.jpg,0,NA,NA,NA,NA
2021050403+AF8-down.jpg,0,NA,NA,NA,NA
2021050404+AF8-down.jpg,0,NA,NA,NA,NA
2021050405+AF8-down.jpg,165583.058,rectangulaire,restreint,sec,ok
2021050406+AF8-down.jpg,0,NA,NA,NA,NA
2021050407+AF8-down.jpg,0,NA,NA,NA,NA
2021050408+AF8-down.jpg,0,NA,NA,NA,NA
2021050409+AF8-down.jpg,151458.875,intermediaire,restreint,sec,doute
2021050410+AF8-down.jpg,20766.107,rectangulaire,frangmente,sec,doute
2021050411+AF8-down.jpg,92760.362,rectangulaire,restreint,sec,imprecis
2021050412+AF8-down.jpg,121736.932,intermediaire,frangmente,sec,imprecis
2021050413+AF8-down.jpg,0,NA,NA,NA,NA
2021050415+AF8-down.jpg,94410.985,intermediaire,frangmente,sec,ok
2021050416+AF8-down.jpg,282112.391,intermediaire,restreint,sec,ok
2021050417+AF8-down.jpg,214543.79,intermediaire,restreint,sec,ok
2021050418+AF8-down.jpg,107997.239,intermediaire,restreint,sec,ok
2021050419+AF8-down.jpg,0,NA,NA,NA,NA
2021050420+AF8-down.jpg,0,NA,NA,NA,NA
2021050421+AF8-down.jpg,0,NA,NA,NA,NA
2021050422+AF8-down.jpg,52973.374,rectangulaire,restreint,sec,ok
2021052101+AF8-down.jpg,0,NA,NA,NA,NA
2021052102+AF8-down.jpg,163490.719,rectangulaire,restreint,sec,ok
2021052103+AF8-down.jpg,0,NA,NA,NA,NA
2021052104+AF8-down.jpg,0,NA,NA,NA,NA
2021052105+AF8-down.jpg,195331.469,rectangulaire,restreint,sec,ok
2021052107+AF8-down.jpg,0,NA,NA,NA,NA
2021052108+AF8-down.jpg,227520.942,rectangulaire,restreint,sec,ok
