Label,Length
2022050511+AF8-side.tif,998.460
2022050507+AF8-side.tif,997.694
2022050510+AF8-side.tif,997.426
2021121720+AF8-side.jpg,997.146
2021120310+AF8-side.tif,996.721
2022052503+AF8-side.tif,995.671
2022042806+AF8-side.tif,995.671
2022030807+AF8-side.tif,995.631
2021120913+AF8-side.jpg,994.410
2022040819+AF8-side.jpg,994.220
2022040812+AF8-side.jpg,994.182
2022050325+AF8-side.tif,993.806
2022042107+AF8-side.tif,993.464
2022041505+AF8-side.tif,992.892
2022050403+AF8-side.tif,992.743
2022050623+AF8-side.jpg,991.455
2023042810+AF8-side.tif,991.383
2022042518+AF8-side.tif,991.338
2022011415+AF8-side.jpg,991.304
2021120129+AF8-side.jpg,990.212
2021122104+AF8-side.jpg,989.449
2022031532+AF8-side.jpg,989.098
2022031545+AF8-side.jpg,989.059
2022030427+AF8-side.tif,986.936
2022052424+AF8-side.tif,986.900
2022021124+AF8-side.jpg,986.899
2021120116+AF8-side.jpg,986.230
2021120111+AF8-side.jpg,985.926
20230314+AC0-CantonS+AC0-profile2.tif,985.812
20230314+AC0-CantonS+AC0-profile12.tif,985.504
2022042907+AF8-side.tif,985.503
2022040824+AF8-side.jpg,985.500
2022041525+AF8-side.tif,985.366
2022050327+AF8-side.tif,985.094
2022050345+AF8-side.tif,984.747
2022050419+AF8-side.tif,984.189
2022020203+AF8-side.jpg,984.069
2022041516+AF8-side.tif,984.031
2022030418+AF8-side.tif,983.549
2022012711+AF8-side.jpg,982.763
2022042519+AF8-side.tif,982.758
2022012707+AF8-side.jpg,982.647
2022042523+AF8-side.tif,982.643
2022021843+AF8-side.jpg,982.626
2021122106+AF8-side.jpg,982.617
2021122101+AF8-side.jpg,982.572
2022042830+AF8-side.tif,982.572
2021120118+AF8-side.jpg,979.686
2022050515+AF8-side.tif,979.627
2022031536+AF8-side.jpg,978.599
2022052406+AF8-side.tif,978.322
2022052435+AF8-side.tif,978.205
2022052513+AF8-side.tif,978.166
2021120110+AF8-side.jpg,977.278
2021120114+AF8-side.jpg,977.240
2021120802+AF8-side.jpg,976.074
2022020813+AF8-side.jpg,976.035
2022050346+AF8-side.tif,976.033
2021120916+AF8-side.jpg,976.026
2022050401+AF8-side.tif,975.482
2022041519+AF8-side.tif,975.478
2022020208+AF8-side.jpg,975.361
2021122108+AF8-side.jpg,974.156
2022050633+AF8-side.jpg,973.950
2022042203+AF8-side.tif,973.948
2023042801+AF8-side.tif,973.724
2022040831+AF8-side.jpg,972.852
2022031517+AF8-side.jpg,971.711
2022031513+AF8-side.jpg,971.591
2022050239+AF8-side.tif,971.591
2022092312+AF8-side.tif,971.554
2021121724+AF8-side.jpg,971.446
2021121711+AF8-side.jpg,971.097
2022052505+AF8-side.tif,970.848
2022030425+AF8-side.tif,970.059
2021120115+AF8-side.jpg,969.981
2022110206+AF8-side.tif,969.786
2022021842+AF8-side.jpg,969.545
2022052404+AF8-side.tif,969.432
2022050405+AF8-side.tif,969.126
2021120121+AF8-side.jpg,968.631
2021120109+AF8-side.jpg,968.592
