Label,Area,Major,Minor,Angle,Feret,Slice,FeretX,FeretY,FeretAngle,MinFeret,Scale+AF8-um,Scale+AF8-px
2020120101.jpg+AF8-converted.tif:0488+AC0-0792,396612,1217.221699859,414.864508557,178.903002883,1207.719338257,1,189,463,176.154367679,425.874149604,100,45
2020120102.jpg+AF8-converted.tif:0483+AC0-0782,397805,1237.474578960,409.302191500,177.690047327,1255.048206245,1,155,450,179.497818776,417.894669901,100,45
2020120103.jpg+AF8-converted.tif:0611+AC0-0825,415524,1245.836966379,424.663581884,179.091502149,1243.860120753,1,204,604,176.866161845,425.957151478,100,45
2020120201.jpg+AF8-converted.tif:0587+AC0-0841,383955,1194.136688723,409.389221532,179.686608935,1182.956043139,1,251,608,176.704643519,411.000000000,100,45
2020120202.jpg+AF8-converted.tif:0647+AC0-0761,405241,1208.591860140,426.917376630,0.193568068,1209.566037883,1,157,647,1.752921731,433.000000000,100,45
2020120203.jpg+AF8-converted.tif:0595+AC0-0739,402347,1263.396825744,405.481556283,1.454164890,1254.318938707,1,114,659,4.756054856,405.396607254,100,45
2020120204.jpg+AF8-converted.tif:0516+AC0-0817,394203,1187.160768416,422.785912074,1.840298295,1196.607287292,1,219,520,2.970005053,434.147096527,100,45
2020120205.jpg+AF8-converted.tif:0563+AC0-0751,466905,1254.259363279,473.970477749,178.294702988,1271.983097372,1,116,561,176.800180947,481.640131114,100,45
2020120206.jpg+AF8-converted.tif:0607+AC0-0699,508051,1256.282054121,514.908751439,179.891477720,1290.802076230,1,56,611,175.601294645,532.000000000,100,45
2020120207.jpg+AF8-converted.tif:0531+AC0-0774,458733,1200.863332475,486.380906369,0.837315425,1229.322170954,1,160,545,2.657587128,496.652689201,100,45
2020120208.jpg+AF8-converted.tif:0526+AC0-0828,445008,1249.129963282,453.597143595,0.131304702,1268.763177271,1,194,544,178.012615798,466.907013963,100,45
2020120209.jpg+AF8-converted.tif:0575+AC0-0847,356749,1142.757122778,397.483354328,178.233670951,1151.502062525,1,272,549,178.308001576,404.000000000,100,45
2020120210.jpg+AF8-converted.tif:0526+AC0-0817,463560,1250.031903522,472.166287672,178.159660384,1270.190536888,1,182,511,0.992426053,489.492952634,100,45
2020120211.jpg+AF8-converted.tif:0571+AC0-0777,455852,1316.178799601,440.980202023,179.412832968,1338.896934047,1,108,535,177.902661354,451.000000000,100,45
2020120301.jpg+AF8-converted.tif:0573+AC0-0831,322905,1121.447486536,366.611384063,178.188024095,1108.115517444,1,277,548,179.172681625,371.700286101,100,45
2020120302.jpg+AF8-converted.tif:0527+AC0-0765,460767,1265.002755660,463.767183655,0.612280887,1280.016406145,1,126,542,2.283453885,468.833423463,100,45
