random,result_pupa_glue.Label
53721.tif,2022110215_below.tif
49780.tif,2022110214_below.tif
78091.tif,2022110213_below.tif
48687.tif,2022110212_below.tif
81531.tif,2022110211_below.tif
35169.tif,2022110210_below.tif
62211.tif,2022110209_below.tif
26378.tif,2022092106_down.tif
18478.tif,2022110207_below.tif
54092.tif,2022110208_below.tif
58750.tif,2022110206_below.tif
14519.tif,2022110205_below.tif
70429.tif,2022110204_below.tif
36628.tif,2022110203_below.tif
73493.tif,2022110202_below.tif
05498.tif,2022110201_below.tif
33396.tif,2022092322_below.tiff
49311.tif,2022092321_below.tiff
04748.tif,2022092320_below.tiff
03832.tif,2022092319_below.tiff
43733.tif,2022092318_below.tiff
70900.tif,2022092317_below.tiff
58669.tif,2022092316_below.tiff
60707.tif,2022092315_below.tiff
48978.tif,2022092314_below.tiff
87378.tif,2022092313_below.tiff
44663.tif,2022092312_below.tiff
54938.tif,2022092311_below.tiff
77234.tif,2022092310_below.tiff
39244.tif,2022092309_below.tiff
56212.tif,2022092308_below.tiff
36698.tif,2022092307_below.tiff
68457.tif,2022092306_below.tiff
29189.tif,2022092305_below.tiff
97190.tif,2022092304_below.tiff
94585.tif,2022092303_below.tiff
06373.tif,2022092302_below.tiff
01983.tif,2022092301_below.tiff
96491.tif,2022092111_down.tif
54161.tif,2022092110_down.tif
69424.tif,2022092109_down.tif
77045.tif,2022092108_down.tif
86253.tif,2022092107_down.tif
59535.tif,2022092105_down.tif
59438.tif,2022092104_down.tif
56184.tif,2022092103_down.tif
89724.tif,2022092101_down.tif
86267.tif,2022080916_down.tif
25252.tif,2022080915_down.tif
97419.tif,2022080914_down.tif
74039.tif,2022080912_down.tif
30151.tif,2022080911_down.tif
04319.tif,2022080910_down.tif
74248.tif,2022080909_down.tif
23226.tif,2022080908_down.tif
22659.tif,2022080907_down.tif
82553.tif,2022080906_down.tif
91676.tif,2022080905_down.tif
09855.tif,2022080904_down.tif
64629.tif,2022080903_down.tif
90165.tif,2022080902_down.tif
28682.tif,2022080901_down.tif
21574.tif,2022053118_down.tif
42220.tif,2022053117_down.tif
82008.tif,2022053116_down.tif
16813.tif,2022053115_down.tif
33249.tif,2022053114_down.tif
49108.tif,2022053113_down.tif
63528.tif,2022053112_down.tif
44600.tif,2022053111_down.tif
29631.tif,2022053110_down.tif
23094.tif,2022053109_down.tif
67518.tif,2022053108_down.tif
11304.tif,2022053107_down.tif
35742.tif,2022053106_down.tif
90288.tif,2022053105_down.tif
39745.tif,2022053104_down.tif
00488.tif,2022053103_down.tif
33282.tif,2021060910_down.jpg
98584.tif,2021060909_down.jpg
31398.tif,2021060908_down.jpg
15801.tif,2021060907_down.jpg
29950.tif,2021060905_down.jpg
28238.tif,2021060904_down.jpg
30835.tif,2021060903_down.jpg
94043.tif,2021060901_down.jpg
87209.tif,2021060303_down.jpg
12253.tif,2021060301_down.jpg
88869.tif,2021052810_down.jpg
