random;Area_random;forme;taille;texture;qualite
05993.tif;1993372.813;intermediaire;long;humide;ok
05972.tif;1537101.620;michelin;restreint;humide;ok
05848.tif;0;NA;NA;NA;NA
05778.tif;1472974.409;intermediaire;long;humide;ok
05773.tif;1537101.620;michelin;long;humide;ok
05702.tif;2304251.640;michelin;long;humide;ok
05648.tif;709707.959;intermediaire;long;sec;ok
05580.tif;1047404.674;intermediaire;long;humide;ok
05575.tif;1098180.905;intermediaire;long;humide;ok
05572.tif;1527305.749;michelin;long;humide;ok
05520.tif;1112575.232;intermediaire;long;humide;ok
05498.tif;875619.487;intermediaire;long;humide;ok
05479.tif;1008646.257;intermediaire;long;humide;ok
05445.tif;707118.913;intermediaire;restreint;humide;ok
05367.tif;739655.889;intermediaire;long;sec;ok
05293.tif;509114.797;intermediaire;restreint;sec;doute
05153.tif;1487600.591;rectangulaire;long;humide;ok
04900.tif;1186305.102;rectangulaire;long;humide;ok
04770.tif;1377778.636;intermediaire;long;humide;ok
04620.tif;1848038.411;intermediaire;long;humide;ok
04595.tif;1169534.261;intermediaire;long;humide;ok
04575.tif;1031909.036;michelin;long;humide;ok
04493.tif;966255.446;intermediaire;long;sec;imprecis
04471.tif;867948.953;intermediaire;long;humide;ok
04319.tif;602088.627;intermediaire;long;humide;ok
04309.tif;867775.062;intermediaire;long;humide;ok
04189.tif;2093843.285;intermediaire;long;humide;ok
03934.tif;0;NA;NA;NA;NA
03838.tif;1108054.061;rectangulaire;long;humide;ok
03716.tif;1533701.081;intermediaire;long;humide;ok
03318.tif;1419589.810;rectangulaire;long;humide;ok
03261.tif;85921.575;michelin;fragment+//3//Q-;sec;ok
03194.tif;2282206.100;rectangulaire;long;humide;ok
03010.tif;1013901.636;rectangulaire;long;sec;ok
02843.tif;1819732.787;intermediaire;long;humide;ok
02714.tif;386791.997;intermediaire;long;sec;ok
02708.tif;1480219.876;michelin;long;humide;ok
02489.tif;687275.994;intermediaire;long;humide;ok
02425.tif;1223865.601;intermediaire;long;humide;ok
02261.tif;287403.515;intermediaire;restreint;sec;ok
02252.tif;325234.512;intermediaire;restreint;sec;doute
02192.tif;2282437.955;rectangulaire;long;humide;ok
02113.tif;1754175.804;intermediaire;long;humide;ok
02110.tif;1234840.068;rectangulaire;long;sec;ok
01910.tif;767343.232;intermediaire;long;humide;ok
01904.tif;292871.427;rectangulaire;restreint;sec;ok
01734.tif;1640219.103;michelin;long;sec;ok
01675.tif;493271.377;rectangulaire;restreint;sec;doute
01641.tif;1129539.285;intermediaire;long;sec;ok
01397.tif;752485.195;michelin;long;sec;ok
01321.tif;993904.147;rectangulaire;long;humide;ok
01300.tif;1502960.981;intermediaire;long;humide;ok
01293.tif;177658.845;michelin;restreint;sec;ok
01257.tif;1509762.059;intermediaire;restreint;sec;ok
01217.tif;1604242.945;michelin;long;humide;ok
01202.tif;2120487.282;michelin;long;humide;ok
00781.tif;1124728.295;rectangulaire;long;sec;ok
00630.tif;1242220.784;intermediaire;long;sec;ok
00570.tif;1876537.247;rectangulaire;long;humide;ok
00488.tif;2089418.720;michelin;long;humide;ok
00484.tif;0;NA;NA;NA;NA
00448.tif;1876073.537;intermediaire;long;humide;ok
00219.tif;849265.310;intermediaire;restreint;humide;ok
00180.tif;2601045.279;intermediaire;long;sec;doute
00165.tif;971665.395;intermediaire;long;humide;ok
00157.tif;1662882.923;intermediaire;long;humide;ok
